Internode Position,Length (cm),Temperature Level
12,9.760149537085786,ELT 38/30 °C
13,8.971593154683015,ELT 38/30 °C
14,9.530918282476643,ELT 38/30 °C
15,8.82467788875917,ELT 38/30 °C
16,8.363902759656511,ELT 38/30 °C
17,6.786449289757526,ELT 38/30 °C
18,7.563090682369002,ELT 38/30 °C
19,7.507858982429838,ELT 38/30 °C
20,8.569520694368848,ELT 38/30 °C
21,7.7541935640552,ELT 38/30 °C
22,9.00037208678945,ELT 38/30 °C
23,10.412649984962634,ELT 38/30 °C
24,9.837923301640602,ELT 38/30 °C
25,10.118065795085906,ELT 38/30 °C
26,10.021252515919205,ELT 38/30 °C
27,9.11140691735705,ELT 38/30 °C
28,8.42419977327943,ELT 38/30 °C
29,6.167558606827067,ELT 38/30 °C
30,6.18038939075915,ELT 38/30 °C
31,4.180173667860478,ELT 38/30 °C
32,3.6727112485249855,ELT 38/30 °C
33,2.7850523731544476,ELT 38/30 °C
34,1.959974801277602,ELT 38/30 °C
35,2.3581941202580117,ELT 38/30 °C
1,1.5551864852929773,ELT 42/34 °C
2,1.3494909615688138,ELT 42/34 °C
3,2.9708111053745294,ELT 42/34 °C
4,2.6548946710116095,ELT 42/34 °C
5,4.476457297705452,ELT 42/34 °C
6,5.803208859476641,ELT 42/34 °C
7,6.832124454563878,ELT 42/34 °C
8,7.605644720016423,ELT 42/34 °C
9,8.248528939171322,ELT 42/34 °C
10,7.268474829221398,ELT 42/34 °C
11,6.576786354353304,ELT 42/34 °C
12,7.320002186287107,ELT 42/34 °C
13,7.1376356193138495,ELT 42/34 °C
14,4.968672453504215,ELT 42/34 °C
15,4.289354328428951,ELT 42/34 °C
16,3.5361372816024033,ELT 42/34 °C
17,2.4578629316111793,ELT 42/34 °C
18,1.8103489991685855,ELT 42/34 °C
19,1.2212952006746427,ELT 42/34 °C
20,1.1330694492119893,ELT 42/34 °C
21,0.692989483765527,ELT 42/34 °C
22,0.7435097331018222,ELT 42/34 °C
23,1.538840971371109,ELT 42/34 °C
24,0.9877183595554979,ELT 42/34 °C
25,2.359473390257631,ELT 42/34 °C
26,3.9348938354715877,ELT 42/34 °C
27,4.529224123694939,ELT 42/34 °C
28,5.0479055018353325,ELT 42/34 °C
29,5.67625757449483,ELT 42/34 °C
30,7.920210406579551,ELT 42/34 °C
31,8.077166556290813,ELT 42/34 °C
32,7.557144093746452,ELT 42/34 °C
33,8.362103080288549,ELT 42/34 °C
34,8.028645368499312,ELT 42/34 °C
35,5.7290706048232405,ELT 42/34 °C
36,4.663855347548333,ELT 42/34 °C
37,4.2702896812738365,ELT 42/34 °C
38,3.958217549707049,ELT 42/34 °C
39,2.088637259521552,ELT 42/34 °C
40,2.408847187924179,ELT 42/34 °C
41,0.5603392884677117,ELT 42/34 °C
42,0.9289648281619471,ELT 42/34 °C
43,0.6213637151057424,ELT 42/34 °C
44,0.9433434555993037,ELT 42/34 °C
45,0.0,ELT 42/34 °C
